GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0200000US1,1,Northeast Region,56209510,*****,48195299,1899,8014211,1899
0200000US2,2,Midwest Region,67941431,*****,62706928,3855,5234503,3854
0200000US3,3,South Region,122319574,*****,100972355,8464,21347219,8464
0200000US4,4,West Region,76657000,*****,53854214,1615,22802786,1615
