GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0200000US1,1,Northeast Region,56283891,*****,48387565,2100,7896326,2100
0200000US2,2,Midwest Region,67907404,*****,62731801,4517,5175603,4517
0200000US3,3,South Region,121182847,*****,100323690,6349,20859157,6349
0200000US4,4,West Region,76044679,*****,53479643,2017,22565036,2017
