GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0200000US1,1,Northeast Region,55361036,*****,48332577,2948,7028459,2948
0200000US2,2,Midwest Region,66975848,*****,62300545,4282,4675303,4282
0200000US3,3,South Region,114865724,*****,96547132,8295,18318592,8295
0200000US4,4,West Region,72147081,*****,51429346,1993,20717735,1993
