GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0200000US1,1,Northeast Region,55521598,*****,48329358,1701,7192240,1701
0200000US2,2,Midwest Region,67158837,*****,62380729,4582,4778108,4581
0200000US3,3,South Region,116046736,*****,97225713,6927,18821023,6927
0200000US4,4,West Region,72864748,*****,51716203,710,21148545,710
