GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0200000US1,1,Northeast Region,56470581,*****,48242371,2343,8228210,2343
0200000US2,2,Midwest Region,68179351,*****,62820400,4118,5358951,4118
0200000US3,3,South Region,123658624,*****,101597378,8685,22061246,8685
0200000US4,4,West Region,77410622,*****,54212895,858,23197727,858
