GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - Speak only English,Margin of Error; Less than high school graduate: - In labor force: - Speak only English,Estimate; Less than high school graduate: - In labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - In labor force: - Speak Spanish,Estimate; Less than high school graduate: - In labor force: - Speak all other languages,Margin of Error; Less than high school graduate: - In labor force: - Speak all other languages,Estimate; Less than high school graduate: - Not in labor force:,Margin of Error; Less than high school graduate: - Not in labor force:,Estimate; Less than high school graduate: - Not in labor force: - Speak only English,Margin of Error; Less than high school graduate: - Not in labor force: - Speak only English,Estimate; Less than high school graduate: - Not in labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Spanish,Estimate; Less than high school graduate: - Not in labor force: - Speak all other languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak all other languages,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - In labor force: - Speak all other languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak all other languages,Estimate; High school graduate (includes equivalency): - Not in labor force:,Margin of Error; High school graduate (includes equivalency): - Not in labor force:,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak all other languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak all other languages,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - Speak only English,Margin of Error; Some college or associate's degree: - In labor force: - Speak only English,Estimate; Some college or associate's degree: - In labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - In labor force: - Speak Spanish,Estimate; Some college or associate's degree: - In labor force: - Speak all other languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak all other languages,Estimate; Some college or associate's degree: - Not in labor force:,Margin of Error; Some college or associate's degree: - Not in labor force:,Estimate; Some college or associate's degree: - Not in labor force: - Speak only English,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak only English,Estimate; Some college or associate's degree: - Not in labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Spanish,Estimate; Some college or associate's degree: - Not in labor force: - Speak all other languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak all other languages,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak only English,Estimate; Bachelor's degree or higher: - In labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - In labor force: - Speak all other languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak all other languages,Estimate; Bachelor's degree or higher: - Not in labor force:,Margin of Error; Bachelor's degree or higher: - Not in labor force:,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak only English,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak all other languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak all other languages
0200000US1,1,Northeast Region,37594652,10161,4783145,40249,1986542,27817,892844,16222,717577,19615,376121,11075,2796603,25056,1730682,19803,552732,12255,513189,12400,11412676,49412,6806537,44845,5420548,41778,742209,16941,643780,12333,4606139,29672,3878392,26038,317505,9077,410242,10402,9170173,43431,6676103,36947,5486048,33709,608149,14408,581906,12904,2494070,22411,2090449,20150,168943,7146,234678,7703,12228658,53600,9578837,46021,7662720,39615,469913,12015,1446204,20360,2649821,25211,2098681,21701,102742,5697,448398,12267
0200000US2,2,Midwest Region,44318620,23329,5105392,35419,2126806,25525,1401021,21066,543966,13683,181819,7392,2978586,28021,2478211,23656,269599,7736,230776,7313,13924391,54159,8272971,45655,7584533,41270,391909,11806,296529,10481,5651420,33505,5330106,31312,132770,6370,188544,7247,13373233,45801,9746120,42102,9088652,41569,310806,10456,346662,9170,3627113,27288,3394826,25620,83876,4310,148411,5966,11915604,50773,9384945,44885,8361230,42987,241204,10145,782511,13244,2530659,23002,2244387,21529,48666,3136,237606,6732
0200000US3,3,South Region,75558195,39995,12251398,61755,5389209,41653,2974987,32704,2126318,25372,287904,9947,6862189,41985,5205750,36177,1348508,18360,307931,9005,22101902,71947,13156775,53218,10974199,50208,1680773,20874,501803,13945,8945127,42256,7963028,40085,674308,12762,307791,8860,21570693,71074,15170144,62646,13021460,58734,1501768,21995,646916,14670,6400549,37421,5705392,35082,436903,11154,258254,8955,19634202,92579,14925339,80776,12450073,69926,1110102,20253,1365164,20757,4708863,39389,4022943,34507,277656,9215,408264,11485
0200000US4,4,West Region,46817466,15215,7323080,49682,3875613,36748,971162,18271,2549468,30996,354983,11391,3447467,32838,1424650,19165,1480689,22840,542128,10825,10786633,54195,6537988,40172,4393194,32531,1532212,23697,612582,15727,4248645,36011,3241339,30983,567813,14241,439493,11451,14908175,64229,10298658,59103,7908688,47747,1397734,21779,992236,17619,4609517,34279,3791369,32259,392933,11068,425215,12288,13799578,61959,10371136,51084,7781384,46534,762935,16975,1826817,22925,3428442,26435,2650861,23823,177683,7935,599898,13489
