GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - Speak only English,Margin of Error; Less than high school graduate: - In labor force: - Speak only English,Estimate; Less than high school graduate: - In labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - In labor force: - Speak Spanish,Estimate; Less than high school graduate: - In labor force: - Speak all other languages,Margin of Error; Less than high school graduate: - In labor force: - Speak all other languages,Estimate; Less than high school graduate: - Not in labor force:,Margin of Error; Less than high school graduate: - Not in labor force:,Estimate; Less than high school graduate: - Not in labor force: - Speak only English,Margin of Error; Less than high school graduate: - Not in labor force: - Speak only English,Estimate; Less than high school graduate: - Not in labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Spanish,Estimate; Less than high school graduate: - Not in labor force: - Speak all other languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak all other languages,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - In labor force: - Speak all other languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak all other languages,Estimate; High school graduate (includes equivalency): - Not in labor force:,Margin of Error; High school graduate (includes equivalency): - Not in labor force:,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak all other languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak all other languages,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - Speak only English,Margin of Error; Some college or associate's degree: - In labor force: - Speak only English,Estimate; Some college or associate's degree: - In labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - In labor force: - Speak Spanish,Estimate; Some college or associate's degree: - In labor force: - Speak all other languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak all other languages,Estimate; Some college or associate's degree: - Not in labor force:,Margin of Error; Some college or associate's degree: - Not in labor force:,Estimate; Some college or associate's degree: - Not in labor force: - Speak only English,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak only English,Estimate; Some college or associate's degree: - Not in labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Spanish,Estimate; Some college or associate's degree: - Not in labor force: - Speak all other languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak all other languages,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak only English,Estimate; Bachelor's degree or higher: - In labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - In labor force: - Speak all other languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak all other languages,Estimate; Bachelor's degree or higher: - Not in labor force:,Margin of Error; Bachelor's degree or higher: - Not in labor force:,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak only English,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak all other languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak all other languages
0200000US1,1,Northeast Region,38144136,8752,4644392,27121,1945893,20802,839986,13964,728972,16651,376935,9432,2698499,18729,1626781,15240,571537,13392,500181,8916,11333574,49716,6643802,40504,5228609,32119,788884,17755,626309,14039,4689772,31671,3948786,28615,328021,10017,412965,8746,9431741,44468,6764472,39952,5515145,34346,637211,14272,612116,14084,2667269,20150,2227478,19215,186267,7192,253524,7561,12734429,53319,9938950,48223,7897223,44121,505569,11480,1536158,20351,2795479,25654,2222108,21648,107479,5757,465892,10884
0200000US2,2,Midwest Region,44817450,21058,4849204,31535,1998151,21982,1270261,17257,546774,10568,181116,6114,2851053,22483,2333354,20438,278154,6870,239545,8216,13816237,46744,8003534,37714,7302935,34003,403591,10382,297008,8563,5812703,33040,5476613,31965,136363,6170,199727,7011,13730619,50464,9800695,45505,9100264,43890,332942,9024,367489,9193,3929924,26808,3671989,25161,90825,4583,167110,6139,12421390,52134,9678337,47119,8583624,42167,259958,8041,834755,15971,2743053,20807,2425464,20627,57171,3688,260418,6774
0200000US3,3,South Region,77607699,32935,11799157,61393,5130672,46882,2712210,28309,2133484,30973,284978,9837,6668485,40197,4979380,35327,1367649,17110,321456,9814,22407893,58802,13019384,59900,10746407,47050,1782353,25427,490624,12656,9388509,42932,8341201,41104,732300,14163,315008,10928,22449082,65238,15426287,59253,13166288,56489,1601718,24495,658281,15616,7022795,39161,6215349,35384,502452,12427,304994,9035,20951567,77429,15742600,67350,13025347,61084,1240751,20588,1476502,22060,5208967,27166,4434152,26427,303014,8316,471801,11823
0200000US4,4,West Region,48162213,12727,7189515,40564,3758349,29860,906001,18587,2500244,22297,352104,9277,3431166,29353,1352730,18934,1523015,18062,555421,11141,10937957,49560,6559952,36259,4315733,29707,1596062,22656,648157,14899,4378005,31819,3310022,27485,610793,12080,457190,9656,15399605,42903,10395660,40171,7866183,39531,1507997,20492,1021480,16948,5003945,28070,4064906,27235,455807,11108,483232,10385,14635136,57865,10864822,48994,8075432,43215,826641,18379,1962749,21162,3770314,27601,2893584,24635,199715,6984,677015,13468
