GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0200000US1,1,Northeast Region,56209510,*****,40998074,45225,6679828,25912,156051,9809,3644651,18564,23393,3783,3105415,47807,1602098,35189,310510,15139,1291588,29980
0200000US2,2,Midwest Region,67941431,*****,54841493,36567,7036046,24533,430952,10571,2107506,14309,36103,3864,1682368,36319,1806963,31647,201000,11199,1605963,27863
0200000US3,3,South Region,122319574,*****,86550153,57785,23626004,45354,821382,17536,4064894,19468,91490,6080,3873080,68123,3292571,49907,429378,18318,2863193,43569
0200000US4,4,West Region,76657000,*****,52254319,71386,3551491,22307,1268014,21727,7739884,26392,445000,10250,7673489,79514,3724803,47749,602413,18208,3122390,44936
