GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0200000US1,1,Northeast Region,55761091,*****,41424140,47361,6598558,24062,158494,7401,3257815,11976,20906,5428,2911966,46471,1389212,23850,316387,12374,1072825,21382
0200000US2,2,Midwest Region,67316297,*****,55064884,31690,6959004,20985,418212,9562,1820812,11796,28267,3889,1464684,33141,1560434,27012,188198,8546,1372236,25088
0200000US3,3,South Region,117257221,*****,83960030,64094,22606628,35905,761756,15570,3454887,16040,70174,5905,3541365,70631,2862381,39472,415631,18935,2446750,31324
0200000US4,4,West Region,73579431,*****,51543323,60320,3458948,22764,1225043,15890,7022016,23069,423851,9280,6644663,60969,3261587,44023,601072,18118,2660515,40194
