GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0200000US1,1,Northeast Region,55361036,*****,41448433,39933,6477756,23536,144774,7634,3077290,14217,16443,2679,2858894,38113,1337446,25623,310285,13451,1027161,23467
0200000US2,2,Midwest Region,66975848,*****,54905985,36211,6937860,22135,410161,10024,1731605,12142,21310,3158,1519403,35941,1449524,26424,184561,10202,1264963,25710
0200000US3,3,South Region,114865724,*****,82222846,64483,22091595,32168,769833,18838,3211405,16927,68431,5935,3921079,57594,2580535,48667,424171,18346,2156364,41325
0200000US4,4,West Region,72147081,*****,50820208,84154,3367414,19404,1228798,18391,6708002,23728,401732,7704,6590064,81201,3030863,41697,580408,21067,2450455,34787
