GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0200000US1,1,Northeast Region,55521598,*****,41354569,47333,6499343,28884,143602,7619,3144065,14880,13894,3151,3028519,47060,1337606,33657,315457,15548,1022149,28271
0200000US2,2,Midwest Region,67158837,*****,54978590,33406,6921100,23050,408047,8810,1754647,11019,17758,2348,1526339,32271,1552356,27408,182249,10346,1370107,25180
0200000US3,3,South Region,116046736,*****,83085406,71738,22369625,36252,759486,18783,3305136,22621,71113,7160,3751111,65365,2704859,44610,415488,22065,2289371,37704
0200000US4,4,West Region,72864748,*****,51420410,69797,3399460,20269,1235871,21868,6816571,24474,403252,9736,6462187,71782,3126997,47842,569856,22590,2557141,38042
