series id,year,period name,value
CXUEDUCATNLB0905M,2017,Annual,953
CXUEDUCATNLB0905M,2016,Annual,916
CXUEDUCATNLB0905M,2015,Annual,747
CXUEDUCATNLB0905M,2014,Annual,785
CXUEDUCATNLB0905M,2013,Annual,687
CXUEDUCATNLB0905M,2012,Annual,641
CXUEDUCATNLB0905M,2011,Annual,479
CXUEDUCATNLB0905M,2010,Annual,441
CXUEDUCATNLB0905M,2009,Annual,591
CXUEDUCATNLB0905M,2008,Annual,508
CXUEDUCATNLB0905M,2007,Annual,700
CXUEDUCATNLB0905M,2006,Annual,495
CXUEDUCATNLB0905M,2005,Annual,500
CXUEDUCATNLB0905M,2004,Annual,573
CXUEDUCATNLB0905M,2003,Annual,442
CXUEDUCATNLB0905M,2002,Annual,463
CXUEDUCATNLB0905M,2001,Annual,352
CXUEDUCATNLB0905M,2000,Annual,383
