series id,year,period name,value
CXUEDUCATNLB1104M,2017,Annual,1156
CXUEDUCATNLB1104M,2016,Annual,1020
CXUEDUCATNLB1104M,2015,Annual,973
CXUEDUCATNLB1104M,2014,Annual,880
CXUEDUCATNLB1104M,2013,Annual,728
CXUEDUCATNLB1104M,2012,Annual,851
CXUEDUCATNLB1104M,2011,Annual,680
CXUEDUCATNLB1104M,2010,Annual,697
CXUEDUCATNLB1104M,2009,Annual,820
CXUEDUCATNLB1104M,2008,Annual,797
CXUEDUCATNLB1104M,2007,Annual,744
CXUEDUCATNLB1104M,2006,Annual,707
CXUEDUCATNLB1104M,2005,Annual,674
CXUEDUCATNLB1104M,2004,Annual,631
CXUEDUCATNLB1104M,2003,Annual,581
CXUEDUCATNLB1104M,2002,Annual,487
CXUEDUCATNLB1104M,2001,Annual,483
CXUEDUCATNLB1104M,2000,Annual,477
