series id,year,period name,value
CXUEDUCATNLB0904M,2017,Annual,3314
CXUEDUCATNLB0904M,2016,Annual,2825
CXUEDUCATNLB0904M,2015,Annual,2380
CXUEDUCATNLB0904M,2014,Annual,2585
CXUEDUCATNLB0904M,2013,Annual,3233
CXUEDUCATNLB0904M,2012,Annual,3295
CXUEDUCATNLB0904M,2011,Annual,2267
CXUEDUCATNLB0904M,2010,Annual,2854
CXUEDUCATNLB0904M,2009,Annual,2327
CXUEDUCATNLB0904M,2008,Annual,1676
CXUEDUCATNLB0904M,2007,Annual,1627
CXUEDUCATNLB0904M,2006,Annual,2332
CXUEDUCATNLB0904M,2005,Annual,1759
CXUEDUCATNLB0904M,2004,Annual,2087
CXUEDUCATNLB0904M,2003,Annual,1890
