series id,year,period name,value
CXUEDUCATNLB1105M,2017,Annual,1581
CXUEDUCATNLB1105M,2016,Annual,1456
CXUEDUCATNLB1105M,2015,Annual,1295
CXUEDUCATNLB1105M,2014,Annual,1181
CXUEDUCATNLB1105M,2013,Annual,1159
CXUEDUCATNLB1105M,2012,Annual,1358
CXUEDUCATNLB1105M,2011,Annual,1145
CXUEDUCATNLB1105M,2010,Annual,1167
CXUEDUCATNLB1105M,2009,Annual,902
CXUEDUCATNLB1105M,2008,Annual,1019
CXUEDUCATNLB1105M,2007,Annual,842
CXUEDUCATNLB1105M,2006,Annual,948
CXUEDUCATNLB1105M,2005,Annual,926
CXUEDUCATNLB1105M,2004,Annual,1115
CXUEDUCATNLB1105M,2003,Annual,875
CXUEDUCATNLB1105M,2002,Annual,947
CXUEDUCATNLB1105M,2001,Annual,798
CXUEDUCATNLB1105M,2000,Annual,674
