grouping,group,year,value
ed_total_college_graduate,17,2012,2325
ed_total_college_graduate,17,2011,1943
ed_total_college_graduate,17,2010,2247
ed_total_college_graduate,17,2009,2074
ed_total_college_graduate,17,2008,2137
ed_total_college_graduate,17,2007,1813
ed_total_college_graduate,17,2006,1725
ed_total_college_graduate,17,2005,1831
ed_total_college_graduate,17,2004,1797
ed_total_college_graduate,17,2003,1587
ed_total_college_graduate,17,2002,1442
ed_total_college_graduate,17,2001,1255
ed_total_college_graduate,17,2000,1226
