grouping,year,value
ed_highschool_graduate_some_college,2012,1056
ed_highschool_graduate_some_college,2011,1109
ed_highschool_graduate_some_college,2010,912
ed_highschool_graduate_some_college,2009,1039
ed_highschool_graduate_some_college,2008,1013
ed_highschool_graduate_some_college,2007,1063
ed_highschool_graduate_some_college,2006,882
ed_highschool_graduate_some_college,2005,980
ed_highschool_graduate_some_college,2004,981
ed_highschool_graduate_some_college,2003,859
ed_highschool_graduate_some_college,2002,953
ed_highschool_graduate_some_college,2001,805
ed_highschool_graduate_some_college,2000,721
