series id,year,period name,value
CXUEDUCATNLB0808M,2017,Annual,1606
CXUEDUCATNLB0808M,2016,Annual,1344
CXUEDUCATNLB0808M,2015,Annual,1437
CXUEDUCATNLB0808M,2014,Annual,1352
CXUEDUCATNLB0808M,2013,Annual,1268
CXUEDUCATNLB0808M,2012,Annual,1358
CXUEDUCATNLB0808M,2011,Annual,1105
CXUEDUCATNLB0808M,2010,Annual,1155
CXUEDUCATNLB0808M,2009,Annual,1209
CXUEDUCATNLB0808M,2008,Annual,1139
CXUEDUCATNLB0808M,2007,Annual,1013
CXUEDUCATNLB0808M,2006,Annual,1030
CXUEDUCATNLB0808M,2005,Annual,1026
CXUEDUCATNLB0808M,2004,Annual,1021
CXUEDUCATNLB0808M,2003,Annual,911
