series id,year,period name,value
CXUEDUCATNLB0902M,2017,Annual,1574
CXUEDUCATNLB0902M,2016,Annual,1391
CXUEDUCATNLB0902M,2015,Annual,1399
CXUEDUCATNLB0902M,2014,Annual,1302
CXUEDUCATNLB0902M,2013,Annual,1202
CXUEDUCATNLB0902M,2012,Annual,1289
CXUEDUCATNLB0902M,2011,Annual,1131
CXUEDUCATNLB0902M,2010,Annual,1163
CXUEDUCATNLB0902M,2009,Annual,1134
CXUEDUCATNLB0902M,2008,Annual,1121
CXUEDUCATNLB0902M,2007,Annual,979
CXUEDUCATNLB0902M,2006,Annual,941
CXUEDUCATNLB0902M,2005,Annual,1000
CXUEDUCATNLB0902M,2004,Annual,950
CXUEDUCATNLB0902M,2003,Annual,829
CXUEDUCATNLB0902M,2002,Annual,792
CXUEDUCATNLB0902M,2001,Annual,688
CXUEDUCATNLB0902M,2000,Annual,666
