grouping,year,value
ed_less_than_highschool_graduate,2012,193
ed_less_than_highschool_graduate,2011,252
ed_less_than_highschool_graduate,2010,205
ed_less_than_highschool_graduate,2009,236
ed_less_than_highschool_graduate,2008,146
ed_less_than_highschool_graduate,2007,145
ed_less_than_highschool_graduate,2006,151
ed_less_than_highschool_graduate,2005,131
ed_less_than_highschool_graduate,2004,133
ed_less_than_highschool_graduate,2003,102
ed_less_than_highschool_graduate,2002,120
ed_less_than_highschool_graduate,2001,138
ed_less_than_highschool_graduate,2000,128
