grouping,group,year,value
origin_not_hispanic_latino,5,2017,1584
origin_not_hispanic_latino,5,2016,1407
origin_not_hispanic_latino,5,2015,1388
origin_not_hispanic_latino,5,2014,1309
origin_not_hispanic_latino,5,2013,1231
origin_not_hispanic_latino,5,2012,1310
origin_not_hispanic_latino,5,2011,1111
origin_not_hispanic_latino,5,2010,1112
origin_not_hispanic_latino,5,2009,1116
origin_not_hispanic_latino,5,2008,1095
origin_not_hispanic_latino,5,2007,1016
origin_not_hispanic_latino,5,2006,921
origin_not_hispanic_latino,5,2005,986
origin_not_hispanic_latino,5,2004,961
origin_not_hispanic_latino,5,2003,818
origin_not_hispanic_latino,5,2002,779
origin_not_hispanic_latino,5,2001,669
origin_not_hispanic_latino,5,2000,657
