grouping,group,year,value
region_midwest,9,2017,1287
region_midwest,9,2016,1225
region_midwest,9,2015,1343
region_midwest,9,2014,1158
region_midwest,9,2013,1207
region_midwest,9,2012,1180
region_midwest,9,2011,1095
region_midwest,9,2010,1153
region_midwest,9,2009,1103
region_midwest,9,2008,1029
region_midwest,9,2007,1187
region_midwest,9,2006,951
region_midwest,9,2005,998
region_midwest,9,2004,928
region_midwest,9,2003,796
region_midwest,9,2002,718
region_midwest,9,2001,689
region_midwest,9,2000,667
