grouping,group,year,value
ed_master_professional_doctorate,19,2012,2932
ed_master_professional_doctorate,19,2011,2019
ed_master_professional_doctorate,19,2010,2705
ed_master_professional_doctorate,19,2009,2538
ed_master_professional_doctorate,19,2008,2582
ed_master_professional_doctorate,19,2007,2226
ed_master_professional_doctorate,19,2006,2101
ed_master_professional_doctorate,19,2005,2245
ed_master_professional_doctorate,19,2004,2326
ed_master_professional_doctorate,19,2003,2029
ed_master_professional_doctorate,19,2002,1746
ed_master_professional_doctorate,19,2001,1491
ed_master_professional_doctorate,19,2000,1399
