grouping,group,year,value
not_hispanic_white_other,6,2017,1696
not_hispanic_white_other,6,2016,1489
not_hispanic_white_other,6,2015,1500
not_hispanic_white_other,6,2014,1400
not_hispanic_white_other,6,2013,1319
not_hispanic_white_other,6,2012,1423
not_hispanic_white_other,6,2011,1212
not_hispanic_white_other,6,2010,1221
not_hispanic_white_other,6,2009,1197
not_hispanic_white_other,6,2008,1186
not_hispanic_white_other,6,2007,1065
not_hispanic_white_other,6,2006,986
not_hispanic_white_other,6,2005,1061
not_hispanic_white_other,6,2004,1019
not_hispanic_white_other,6,2003,877
