series id,year,period name,value
CXUEDUCATNLB0807M,2017,Annual,1504
CXUEDUCATNLB0807M,2016,Annual,1507
CXUEDUCATNLB0807M,2015,Annual,1332
CXUEDUCATNLB0807M,2014,Annual,1250
CXUEDUCATNLB0807M,2013,Annual,1044
CXUEDUCATNLB0807M,2012,Annual,1087
CXUEDUCATNLB0807M,2011,Annual,1112
CXUEDUCATNLB0807M,2010,Annual,1073
CXUEDUCATNLB0807M,2009,Annual,951
CXUEDUCATNLB0807M,2008,Annual,994
CXUEDUCATNLB0807M,2007,Annual,940
CXUEDUCATNLB0807M,2006,Annual,751
CXUEDUCATNLB0807M,2005,Annual,914
CXUEDUCATNLB0807M,2004,Annual,877
CXUEDUCATNLB0807M,2003,Annual,718
