grouping,year,value
ed_associate_degree,2012,1255
ed_associate_degree,2011,966
ed_associate_degree,2010,1020
ed_associate_degree,2009,907
ed_associate_degree,2008,853
ed_associate_degree,2007,725
ed_associate_degree,2006,897
ed_associate_degree,2005,910
ed_associate_degree,2004,808
ed_associate_degree,2003,776
ed_associate_degree,2002,746
ed_associate_degree,2001,596
ed_associate_degree,2000,700
