grouping,year,value
ed_total_less_than_college_graduate,2012,692
ed_total_less_than_college_graduate,2011,662
ed_total_less_than_college_graduate,2010,579
ed_total_less_than_college_graduate,2009,648
ed_total_less_than_college_graduate,2008,602
ed_total_less_than_college_graduate,2007,591
ed_total_less_than_college_graduate,2006,562
ed_total_less_than_college_graduate,2005,605
ed_total_less_than_college_graduate,2004,560
ed_total_less_than_college_graduate,2003,492
ed_total_less_than_college_graduate,2002,505
ed_total_less_than_college_graduate,2001,435
ed_total_less_than_college_graduate,2000,427
