series id,year,period name,value
CXUEDUCATNLB0809M,2017,Annual,667
CXUEDUCATNLB0809M,2016,Annual,459
CXUEDUCATNLB0809M,2015,Annual,494
CXUEDUCATNLB0809M,2014,Annual,342
CXUEDUCATNLB0809M,2013,Annual,537
CXUEDUCATNLB0809M,2012,Annual,507
CXUEDUCATNLB0809M,2011,Annual,425
CXUEDUCATNLB0809M,2010,Annual,499
CXUEDUCATNLB0809M,2009,Annual,456
CXUEDUCATNLB0809M,2008,Annual,554
CXUEDUCATNLB0809M,2007,Annual,483
CXUEDUCATNLB0809M,2006,Annual,343
CXUEDUCATNLB0809M,2005,Annual,418
CXUEDUCATNLB0809M,2004,Annual,450
CXUEDUCATNLB0809M,2003,Annual,348
CXUEDUCATNLB0809M,2002,Annual,363
CXUEDUCATNLB0809M,2001,Annual,285
CXUEDUCATNLB0809M,2000,Annual,302
