series id,year,period name,value
CXUEDUCATNLB0903M,2017,Annual,1470
CXUEDUCATNLB0903M,2016,Annual,1315
CXUEDUCATNLB0903M,2015,Annual,1347
CXUEDUCATNLB0903M,2014,Annual,1234
CXUEDUCATNLB0903M,2013,Annual,1098
CXUEDUCATNLB0903M,2012,Annual,1184
CXUEDUCATNLB0903M,2011,Annual,1075
CXUEDUCATNLB0903M,2010,Annual,1077
CXUEDUCATNLB0903M,2009,Annual,1080
CXUEDUCATNLB0903M,2008,Annual,1096
CXUEDUCATNLB0903M,2007,Annual,952
CXUEDUCATNLB0903M,2006,Annual,885
CXUEDUCATNLB0903M,2005,Annual,967
CXUEDUCATNLB0903M,2004,Annual,904
CXUEDUCATNLB0903M,2003,Annual,791
