series id,year,period name,value
CXUEDUCATNLB0806M,2017,Annual,1565
CXUEDUCATNLB0806M,2016,Annual,1409
CXUEDUCATNLB0806M,2015,Annual,1396
CXUEDUCATNLB0806M,2014,Annual,1319
CXUEDUCATNLB0806M,2013,Annual,1194
CXUEDUCATNLB0806M,2012,Annual,1270
CXUEDUCATNLB0806M,2011,Annual,1107
CXUEDUCATNLB0806M,2010,Annual,1129
CXUEDUCATNLB0806M,2009,Annual,1127
CXUEDUCATNLB0806M,2008,Annual,1093
CXUEDUCATNLB0806M,2007,Annual,989
CXUEDUCATNLB0806M,2006,Annual,938
CXUEDUCATNLB0806M,2005,Annual,990
CXUEDUCATNLB0806M,2004,Annual,972
CXUEDUCATNLB0806M,2003,Annual,845
CXUEDUCATNLB0806M,2002,Annual,806
CXUEDUCATNLB0806M,2001,Annual,700
CXUEDUCATNLB0806M,2000,Annual,679
